observation_date,MKTGDPINA646NWDB
2000-01-01,468395521654.4580
2001-01-01,485440139204.1710
2002-01-01,514939140318.7560
2003-01-01,607700687237.3180
2004-01-01,709152728830.7750
2005-01-01,820383763511.4449
2006-01-01,940259888787.7209
2007-01-01,1216736438834.9600
2008-01-01,1198895139005.9199
2009-01-01,1341888016994.8999
2010-01-01,1675615519484.9600
2011-01-01,1823051829894.5500
2012-01-01,1827637590410.4099
2013-01-01,1856721507621.5801
2014-01-01,2039126479154.5200
2015-01-01,2103588360044.9399
2016-01-01,2294796885663.1602
2017-01-01,2651474262755.4502
2018-01-01,2702929641648.7402
2019-01-01,2835606256558.1899
2020-01-01,2674851578587.2700
2021-01-01,3167270623260.4702
2022-01-01,3346107287730.9302
2023-01-01,3638489096033.8599
2024-01-01,3909891533858.0801
