Year/Month,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2018-19,2019-20,2020-21,2021-22 Col. (7)
January,40.96,60.54,52.53,89.52,44.02,76.61,93.87,110.47,117.98,101.57,105.556,59.07,39.88,69.22,71,19,63.4
February,42.67,58.95,56.53,92.37,43.22,73.65,101.16,117.67,108.05,101.1,106.852,63.821,45.01,75.25,70.01,30.61,66.95
March,49.27,60.01,60.25,99.76,46.02,78.02,110.72,123.61,94.51,101.11,109.055,61.745,46.96,73.83,62.37,40.63,71.98
April,32.37,49.47,67.15,65.52,105.77,50.14,84.13,118.79,100.34,104.86,106.278,56.3,43.52,73.47,63.63,43.35,73.54
May,36.08,47.02,67.29,65.74,120.91,58,76.11,110.7,110.07,108.45,101.893,47.327,44.39,72.53,59.35,44.19,69.8
June,34.23,52.75,66.8,68.19,129.72,69.12,74.36,109.99,111.77,109.47,96.96,46.1,44.41,77.88,61.72,41.35,73.13
July,36.35,55.05,71.36,72.69,132.47,64.83,73.54,112.53,109.79,107.37,86.829,46.675,49.25,80.08,59.7,40.66,82.11
August,40.53,60.05,70.84,69.03,113.05,71.98,75.13,106.94,107.87,106.55,77.582,42.504,44.46,65.4,62.53,43.34,80.64
September,39.15,59.74,61.04,74.83,96.81,67.7,76.09,108.79,107.28,108.72,61.21,35.681,52.74,57.77,65.5,49.84,73.3
October,43.88,56.28,57.27,79.33,69.12,73.07,81.11,106.11,109.55,105.29,46.58,28.079,54.07,59.27,64.31,54.79,84.67
November,38.82,53.14,57.8,89.11,50.91,77.39,84.26,109.62,112.68,106.19,56.43,30.526,54.86,64.53,54.63,61.22,94.07
December,36.82,55.05,60.35,87.92,40.61,75.02,89.78,107.2,106.45,105.3,55.18,36.421,51.47,66.74,33.36,64.73,112.87
Year Avg,39.26083333,55.67083333,62.43416667,79.50083333,82.71916667,69.6275,85.02166667,111.8683333,107.97,105.52,84.2,46.17,47.58,69.88,60.47,44.82,79.18
